This train terminates here.  All change please.,,,,Complete
This is the train to,b,,,
Next station,b,,,
where this train terminates.,,,e,
New train destination.  Train to,b,,,
This train will not stop at,b,,,
This train will no longer stop at,b,,,
This is the service to,b,,,
Next stop,b,,,
Approaching,b,,,
This train is now approaching,b,,,
This service is now approaching,b,,,
Service to,b,,,
The next station is,b,,,
The next stop is,b,,,
This is,b,,,
Abbey Wood,b,,,
Acton Main Line,b,,,
Bond Street,b,,,
Brentwood,b,m,e,
Burnham,b,,,
Canary Wharf,b,,,
Chadwell Heath,b,,,
Custom House,b,,,
Ealing Broadway,b,,,
Farringdon,b,,,
Forest Gate,b,,,
Gidea Park,b,,,
Goodmayes,b,,,
Hanwell,b,,,
Harold Wood,b,,,
Hayes & Harlington,b,,,
"Heathrow Terminals 1, 2, 3",b,,,
Heathrow Central,b,m,e,
Heathrow Terminal 4,b,,,
Heathrow Terminal 5,b,,,
Ilford,b,,,
Iver,b,,,
Langley,b,,,
Liverpool Street,b,,,
Maidenhead,b,,,
Manor Park,b,,,
Maryland,b,,,
Paddington,b,,,
Reading,b,,,
Romford,b,,,
Seven Kings,b,,,
Shenfield,b,,,
Slough,b,,,
Southall,b,,,
Stratford,b,,,
Taplow,b,,,
Tottenham Court Road,b,,,
Twyford,b,,,
West Drayton,b,,,
West Ealing,b,,,
Whitechapel,b,,,
Woolwich,b,,,
Change for the,b,,,
line,,,e,
lines,,,e,
Change for,b,,,
trains to,,m,,
services to,,m,,
London Midland,b,,e,
Southern,b,,e,
Southeastern,b,,e,
London Overground,b,,e,
First Capital Connect,b,,e,
London Underground,b,,e,
C2C,b,,e,
Chiltern,b,,e,
Greater Anglia,b,,e,
South West Trains,b,,e,
Cross Country,b,,e,
First Great Western,b,,e,
Heathrow Connect,b,,e,
Heathrow Express,b,,e,
Virgin West Coast,b,,e,
East Coast Trains,b,,e,
(Reserved for) TfL W Anglia Services TfL West Anglia,b,,e,
Network Rail,b,,e,
Freight services,b,,e,
Crossrail,b,,e,
TfL rail service,b,,e,
Transport for London Rail Service,b,,e,
Bakerloo,b,,e,
Central,b,,e,
Circle,b,,e,
Circle and District,b,,e,
District,b,,e,
Docklands Light Railway,b,,e,
Hammersmith and City,b,,e,
Jubilee,b,,e,
Metropolitan,b,,e,
Northern,b,,e,
Picadilly,b,,e,
Victoria,b,,e,
Waterloo and City,b,,e,
DLR,b,,e,
National Rail Services,b,m,e,
London Overground Lines,b,,e,
Richmond to Stratford,b,,e,
Clapham Junction to Willesden Junction,b,,e,
Clapham Junction to Highbury & Islington,b,,e,
Watford Junction to Euston,b,,e,
Gospel Oak to Barking,b,,e,
West Croydon to Highbury & Islington,b,,e,
Crystal Palace to Highbury & Islington,b,,e,
Clapham Junction to Stratford,b,,e,
Willesden Junction to New Cross,b,,e,
Elizabeth,b,m,e,
Exit for,b,,,
Exit here for,b,,,
RailAir Bus Service to Heathrow Airport,,m,e,
St Mary’s Hospital,,m,e,
Trains to Heathrow Airport,,m,e,
